2009年全球游戏机品牌价值排行公布
　　英国市场研究机构明略行(Millward Brown)日前公布了最新的BrandZ全球最有价值品牌百强榜(BrandZ Top 100 Most Valuable Global Brands)。榜单显示，谷歌品牌连续第三年荣登榜首，其价值较微软品牌高出近25%。
　　综合排名TOP 10
　　1.Google  1000亿3900万美元
　　2.微软  762亿4900万美元
　　3.可口可乐  676亿2500万美元
　　4.IBM  666亿2200万美元
　　5.麦当劳  665亿7500万美元
　　6.Apple  631亿1300万美元
　　7.中国 移动通信  612亿8300万美元
　　8.GE（通用电气）  597亿9300万美元
　　9.Vodafone（沃达丰）  537亿2700万美元
　　10.Marlboro（万宝路）  494亿6000万美元
　　同时，明略行还公布了游戏机领域的品牌的排行，具体如下：
　　游戏机
　　1.NDS  96亿5900万美元
　　2.Wii  82亿5600万美元
　　3.X360  45亿8100万美元
　　4.PS3  3亿4100万美元
　　5.Xbox  3亿1300万美元
　　6.GB  2亿2200万美元
　　7.PSP  1亿4400万美元
　　8.PS2  1亿1900万美元
　　9.NGC  9600万美元

